"SYMBOL","COMPANY NAME","SUBJECT","DETAILS","BROADCAST DATE/TIME","RECEIPT","DISSEMINATION","DIFFERENCE","ATTACHMENT","FILE SIZE"
"KRYSTAL","Krystal Integrated Services Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Krystal Integrated Services Limited has informed the Exchange about Schedule of meet","05-Jun-2025 18:00:32","2025-06-05 18:00:32","05-Jun-2025 18:00:33","00:00:01","https://nsearchives.nseindia.com/corporate/KISL123_05062025180019_KrystalInvestorMeetIntimation10thJune2025.pdf","610 KB"
"SUZLON","Suzlon Energy Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Suzlon Energy Limited has informed the Exchange about Transcript","05-Jun-2025 18:00:19","2025-06-05 18:00:19","05-Jun-2025 18:00:20","00:00:01","https://nsearchives.nseindia.com/corporate/SUZLON1_05062025175936_Suzlon05062025.pdf","358 KB"
"REFEX","Refex Industries Limited","ESOP/ESOS/ESPS","Refex Industries Limited has informed the Exchange regarding Allotment of 98,334 equity shares of &#8377;2/- each, in lieu of exercise of 98,334 employees  stock options ( ESOPs ) granted to the eligible employees of the Company in terms of Refex Employee Stock Option Scheme 2021","05-Jun-2025 17:59:39","2025-06-05 17:59:39","05-Jun-2025 17:59:39","00:00:00","https://nsearchives.nseindia.com/corporate/REFEX2002_05062025175852_RIL_ESOP_Allotment_June2025_sd.pdf","822 KB"
"AWL","AWL Agri Business Limited","Change in Management","AWL Agri Business Limited has informed the Exchange about change in Senior Management Personnel of the company","05-Jun-2025 17:57:43","2025-06-05 17:57:43","05-Jun-2025 17:57:44","00:00:01","https://nsearchives.nseindia.com/corporate/AWL_05062025175721_SE_Vineeth.pdf","453 KB"
"MOTHERSON","Samvardhana Motherson International Limited","Copy of Newspaper Publication","Samvardhana Motherson International Limited has informed the Exchange about Copy of Newspaper Publication","05-Jun-2025 17:57:09","2025-06-05 17:57:09","05-Jun-2025 17:57:10","00:00:01","https://nsearchives.nseindia.com/corporate/MOTHERSON_05062025175634_Disclosure.pdf","3.16 MB"
"KIRLOSENG","Kirloskar Oil Engines Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Kirloskar Oil Engines Limited has informed the Exchange about Outcome of Investor call","05-Jun-2025 17:56:54","2025-06-05 17:56:54","05-Jun-2025 17:56:55","00:00:01","https://nsearchives.nseindia.com/corporate/KIRLOSENG_05062025175634_SE_InvestorcallOutcome_5Jun25.pdf","211 KB"
"FIEMIND","Fiem Industries Limited","General Updates","Fiem Industries Limited has informed the Exchange about General Updates","05-Jun-2025 17:54:20","2025-06-05 17:54:20","05-Jun-2025 17:54:21","00:00:01","https://nsearchives.nseindia.com/corporate/FIEMIND_05062025175409_FIEMINDNoticeIEPF05062025STX.pdf","664 KB"
"HONAUT","Honeywell Automation India Limited","Shareholders meeting","Honeywell Automation India Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on Jun 27, 2025","05-Jun-2025 17:53:49","2025-06-05 17:53:49","05-Jun-2025 17:53:49","00:00:00","https://nsearchives.nseindia.com/corporate/HONAUT_05062025175321_SENoticeofAGM.pdf","479 KB"
"KTKBANK","The Karnataka Bank Limited","Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent","THE KARNATAKA BANK LIMITED has informed the Exchange about Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent","05-Jun-2025 17:52:06","2025-06-05 17:52:06","05-Jun-2025 17:52:08","00:00:02","https://nsearchives.nseindia.com/corporate/xbrl/CIM_57627_1463426_05062025055205_WEB.xml","3 KB"
"KTKBANK","The Karnataka Bank Limited","Change in Management","The Karnataka Bank Limited has informed the Exchange about Extension oftenure of Mr. Raghuram H. S., as the Chief Risk Officer of the Bank","05-Jun-2025 17:51:02","2025-06-05 17:51:02","05-Jun-2025 17:51:04","00:00:02","https://nsearchives.nseindia.com/corporate/KTKBANK_05062025174814_CROF.pdf","353 KB"
