Date,Code,Name,Open,High,Low,Close,Volume,Turnover,SMA_20,EMA_20,RSI,MACD,MACD_signal,ADX,CMF,Supertrend
2025-04-23,532744,GTN TEXTILES LTD.,8.5,9.89,8.5,8.91,5068,45385.0,,8.922427876660924,52.50482916039246,,,0.0,,False
2025-04-24,532744,GTN TEXTILES LTD.,8.85,10.69,8.85,9.38,124394,1262593.0,,8.975729740992547,60.569471954753475,,,0.0,,False
2025-04-25,532744,GTN TEXTILES LTD.,9.38,9.95,9.25,9.55,17223,163898.0,,9.041233609477953,63.01565715889182,,,0.0,,False
2025-04-28,532744,GTN TEXTILES LTD.,10.04,10.04,8.5,8.9,21697,194907.0,,9.0254215486408,50.19368236978652,,,0.0,,False
2025-04-29,532744,GTN TEXTILES LTD.,9.0,9.39,9.0,9.3,1029,9529.0,8.929,9.05565697258833,56.11182333490613,,,0.0,-0.33819719469141396,False
2025-04-30,532744,GTN TEXTILES LTD.,9.49,9.49,9.01,9.12,647,5996.0,8.9575,9.062638290150513,53.056636437367615,,,0.0,-0.38581273325521026,False
2025-05-02,532744,GTN TEXTILES LTD.,9.12,9.6,8.9,9.3,1661,14853.0,9.0155,9.08805528430739,55.656768598326536,,,0.0,-0.369820739765542,False
2025-05-05,532744,GTN TEXTILES LTD.,9.3,9.3,9.0,9.1,705,6453.0,9.0325,9.089319368895607,52.19728476854107,,,0.0,-0.3714907444418069,False
2025-05-06,532744,GTN TEXTILES LTD.,9.28,9.28,8.3,8.78,2878,25671.0,9.0235,9.056927760946092,47.147670305353955,,,0.0,-0.36582217687766944,False
2025-05-07,532744,GTN TEXTILES LTD.,8.6,9.19,8.6,8.99,542,4696.0,9.0385,9.049984977977285,50.52992914943964,,,0.0,-0.3668704512151358,False
2025-05-08,532744,GTN TEXTILES LTD.,9.2,9.2,8.6,9.09,2167,19132.0,9.0465,9.054100980006027,52.10183654047084,0.0910740421105043,,0.0,-0.3614329485305619,False
2025-05-09,532744,GTN TEXTILES LTD.,9.0,9.0,9.0,9.0,11,99.0,9.057500000000001,9.04857817843799,50.54518499613442,0.07913697891096128,,0.0,-0.36342759242411155,False
2025-05-12,532744,GTN TEXTILES LTD.,9.0,9.19,7.71,8.63,8950,74334.0,9.0565,9.006138877174113,44.640324812501255,0.039367063539115676,,18.733928343253215,-0.3459642638424347,False
2025-05-13,532744,GTN TEXTILES LTD.,8.64,9.08,8.64,8.95,323,2869.0,9.0605,9.000481799256944,50.07282510516697,0.03328673595673948,,20.17839533440387,-0.34388106247223627,False
2025-05-14,532744,GTN TEXTILES LTD.,8.94,8.94,8.45,8.8,3043,26652.0,9.059000000000001,8.980390509489714,47.70942955725002,0.016177798552236666,,21.74620570588696,-0.3329889968655598,False
2025-05-15,532744,GTN TEXTILES LTD.,8.18,9.04,8.18,8.95,1299,11476.0,9.053,8.977360006253603,50.238785629474386,0.014554810003954088,,23.506473423742573,-0.3313838794327861,False
2025-05-16,532744,GTN TEXTILES LTD.,8.77,8.9,8.73,8.89,3084,27008.0,9.0545,8.968687435415077,49.2133366019728,0.008331046212520121,,25.14100773317993,-0.31028840306856414,False
2025-05-19,532744,GTN TEXTILES LTD.,9.05,10.0,8.6,9.13,19406,175593.0,9.062999999999999,8.984637196548386,53.31792637201099,0.022505236447578625,,23.959431166066086,-0.3014777595331478,False
2025-05-20,532744,GTN TEXTILES LTD.,10.08,10.08,9.06,9.66,2630,25564.0,9.096,9.05117164375162,60.84398903225026,0.07563310359530107,0.04545391193297184,22.708521223000712,-0.29489722657221457,False
2025-05-21,532744,GTN TEXTILES LTD.,10.25,10.25,9.41,9.6,799,7640.0,9.1015,9.105063662183577,59.671140063865224,0.11160926043644714,0.0586849816336669,21.2170861328862,-0.29108512220970506,False
2025-05-22,532744,GTN TEXTILES LTD.,9.6,9.95,9.02,9.66,745,7213.0,9.139000000000001,9.15939481780525,60.491306074443955,0.14331013248650315,0.07561001180423416,20.511046528836737,-0.285925226860064,False
2025-05-23,532744,GTN TEXTILES LTD.,9.65,9.65,9.18,9.6,330,3132.0,9.15,9.202417611767553,59.19485986475503,0.161727509363482,0.09283351131608374,19.855438325076516,-0.08945561276424377,False
2025-05-26,532744,GTN TEXTILES LTD.,9.59,9.85,9.52,9.75,1642,15829.0,9.16,9.25575779820645,61.42092585097135,0.1862798415677993,0.11152277736642685,18.813705490400473,-0.06617098546363323,False
2025-05-27,532744,GTN TEXTILES LTD.,9.99,9.99,9.02,9.37,5548,52215.0,9.1835,9.266862048742139,53.46373975420109,0.17307976176699036,0.12383417424653956,18.711394371088666,0.06985065949510766,False
2025-05-28,532744,GTN TEXTILES LTD.,9.38,9.72,9.33,9.51,4357,40853.0,9.193999999999999,9.29044860721877,55.73881276240151,0.17193349113368406,0.13345403762396846,18.616391188870555,0.05139173007567768,False
2025-05-29,532744,GTN TEXTILES LTD.,9.78,9.78,9.2,9.34,34357,322757.0,9.205,9.295247038684447,52.38951466555718,0.15551480626561087,0.13786619135229694,18.74721928619125,-0.1513329431938293,False
2025-05-30,532744,GTN TEXTILES LTD.,9.35,9.54,8.66,9.29,4415,40090.0,9.2045,9.294739740098231,51.41102085555142,0.13689031178189914,0.1376710154382174,19.677850301579586,-0.12987926603328012,False
2025-06-02,532744,GTN TEXTILES LTD.,9.29,9.37,8.75,9.2,1055,9529.0,9.2095,9.285593247562842,49.614710563976864,0.11355898064187464,0.13284860847894886,20.542007673011614,-0.12212253720272011,False
2025-06-03,532744,GTN TEXTILES LTD.,9.02,9.19,9.0,9.0,2854,26102.0,9.2205,9.258057058681867,45.78618331228003,0.07803091230548276,0.12188506924425566,21.344439517912782,-0.15080521755385135,False
2025-06-04,532744,GTN TEXTILES LTD.,9.0,9.17,8.15,8.9,9410,78286.0,9.216,9.223574758623998,43.95963951327708,0.04132908198716301,0.10577387179283712,23.155411842122817,-0.09827025311406888,False
2025-06-05,532744,GTN TEXTILES LTD.,9.4,9.4,8.78,9.17,4530,41616.0,9.22,9.218420792347311,49.78445624188615,0.033641561572672174,0.09134740974880415,24.209192925110727,-0.09800541202093616,False
2025-06-06,532744,GTN TEXTILES LTD.,9.4,9.4,8.54,8.98,921,8253.0,9.219,9.195506453867614,46.149316284293285,0.012078500717185747,0.07549362794248046,25.467488603268546,-0.09699715727071086,False
2025-06-09,532744,GTN TEXTILES LTD.,8.82,9.4,8.6,9.12,20651,188359.0,9.243500000000001,9.188255931619363,49.09859782394995,0.0062148091555691565,0.0616378641850982,26.635906018700805,-0.054548399783437465,False
2025-06-10,532744,GTN TEXTILES LTD.,9.5,9.5,8.85,9.22,15040,134061.0,9.257000000000001,9.191301764712131,51.15633499348776,0.009527132756517176,0.051215717899382,27.421182650023628,-0.03432216646451785,False
2025-06-11,532744,GTN TEXTILES LTD.,9.22,9.37,8.91,9.2,6072,54302.0,9.277,9.192135764115985,50.71475522322382,0.01041824517598755,0.04305622335470311,28.15036809339482,-0.031563756280334844,False
2025-06-12,532744,GTN TEXTILES LTD.,9.26,9.4,8.83,9.33,10212,92912.0,9.296000000000001,9.20534588804509,53.523066553122504,0.021368054106618573,0.03871858950508621,28.94647918556302,0.015431346681619653,False
2025-06-13,532744,GTN TEXTILES LTD.,9.37,9.39,8.6,8.89,11258,101616.0,9.296,9.175147074047938,44.318428881200234,-0.005396261450369977,0.02989561931399497,30.016959727116934,-0.021948608831695103,False
2025-06-16,532744,GTN TEXTILES LTD.,9.36,9.36,8.9,9.19,322,2953.0,9.299,9.176568703300934,50.56132098978587,-0.0023723347619668544,0.023442028498802607,31.010977372845566,0.009973245393970721,False
2025-06-17,532744,GTN TEXTILES LTD.,9.36,9.36,8.85,9.15,533,4884.0,9.2735,9.174026922066867,49.760233085208384,-0.0031670094674982607,0.018120220905542436,32.009668333939956,0.007387963330615004,False
2025-06-18,532744,GTN TEXTILES LTD.,9.1,9.1,8.85,9.0,1007,8954.0,9.243500000000001,9.15738523016706,46.76779866227679,-0.015719338544851524,0.011352309015463646,32.93702422638474,0.012100484661357174,False
2025-06-19,532744,GTN TEXTILES LTD.,8.9,9.23,8.56,8.67,10329,90011.0,9.193999999999999,9.110796112293974,40.93538310952513,-0.05169943296676571,-0.0012580393809822274,34.24123575429377,-0.0385318237607411,False
2025-06-20,532744,GTN TEXTILES LTD.,8.67,8.95,8.6,8.9,1825,15770.0,9.158999999999999,9.090653214492745,45.99091580856209,-0.06095221995867561,-0.013196875496520905,35.45228931592358,-0.031005485618555234,False
2025-06-23,532744,GTN TEXTILES LTD.,9.3,9.3,8.16,9.0,9381,79650.0,9.1215,9.081993483811692,48.07203835861229,-0.05952973432602704,-0.02246344726242213,37.154057063692576,-0.004806023354227205,False
2025-06-24,532744,GTN TEXTILES LTD.,9.0,9.16,8.8,8.86,2557,22736.0,9.096,9.060793456220456,45.4326021360219,-0.0689049409178164,-0.03175174599350099,38.73426997233522,-0.005962668064692475,False
2025-06-25,532744,GTN TEXTILES LTD.,9.04,9.04,8.64,8.91,5573,48596.0,9.065999999999999,9.04639666685449,46.56110523074563,-0.07147634276701886,-0.03969666534820457,40.391475626623155,0.009092646051475002,False
2025-06-26,532744,GTN TEXTILES LTD.,8.91,9.11,8.53,8.88,6179,54804.0,9.043,9.03051392325067,45.947111888549735,-0.07506959102189903,-0.04677125048294346,42.0556496697288,0.1646265350858873,False
