TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,DATE
2025-04-11,2025-04-11,CM,BSE,STK,500483,INE151A01013,TATACOMM,A,,,,,TATA COMMUNICATIONS LTD.,1563.95,1599.9,1545.0,1563.05,1552.5,1546.15,,1564.25,,,9623,15198411.0,1396,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500488,INE358A01014,ABBOTINDIA,A,,,,,ABBOTT INDIA LTD.,29300.35,29764.75,29300.35,29578.6,29578.6,29136.1,,29638.7,,,184,5430982.0,112,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500490,INE118A01012,BAJAJHLDNG,A,,,,,BAJAJ HOLDINGS & INVESTMENT LT,11300.0,11384.4,11092.3,11278.3,11220.0,11101.65,,11281.95,,,2919,32768857.0,747,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500493,INE465A01025,BHARATFORG,A,,,,,BHARAT FORGE LTD.,1018.95,1018.95,977.05,1002.0,1002.0,970.9,,1002.15,,,57054,56728337.0,3099,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500495,INE042A01014,ESCORTS,A,,,,,Escorts Kubota Limited,3159.4,3213.85,3143.75,3176.7,3176.7,3131.45,,3178.15,,,6534,20758385.0,1063,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500500,INE253A01025,HINDMOTORS,B,,,,,HINDUSTAN MOTORS LTD.,22.5,23.01,22.47,22.64,22.73,22.36,,22.62,,,56073,1273467.0,379,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500510,INE018A01030,LT,A,,,,,LARSEN & TOUBRO LTD.,3149.95,3156.0,3100.1,3117.05,3117.05,3059.1,,3116.0,,,134582,420640036.0,10186,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500520,INE101A01026,M&M,A,,,,,MAHINDRA & MAHINDRA LTD.,2571.9,2605.35,2533.0,2582.95,2582.95,2525.5,,2580.4,,,88196,227372085.0,9030,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500530,INE323A01026,BOSCHLTD,A,,,,,BOSCH LTD.,26604.5,26820.0,26300.0,26362.3,26330.8,26185.75,,26359.5,,,809,21395433.0,368,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500540,INE342A01018,PREMIER,T,,,,,PREMIER LTD.,3.14,3.29,3.0,3.28,3.28,3.14,,3.14,,,2932,9370.0,18,F1,1,,,,,,2025-04-11
